s.no,about_item,asin,availability,best_sellers_rank,brand_name,breadcrumbs,default_variant/0,default_variant/1,default_variant/2,delivery_date,fastest_delivery_date,list_price,manufacturer,model_number,price_value,product_description,rating_count,rating_distribution/1star,rating_distribution/2star,rating_distribution/3star,rating_distribution/4star,rating_distribution/5star,rating_stars,recent_purchases,seller_name,title,rank_1
32,"Promotional language leans playful, but the build itself is unusually practical for people with diabetes portion planning; the useful bits are divider logic, leak path, plus steadier microwave routine when the item lives on a fridge shelf.",B0Q9NUFYJQ,Currently unavailable.,"#56,494 in Kitchen & Dining (See Top 100 in Kitchen & Dining)    #358 in Bento Boxes",VioletQuill Store,Kitchen & Dining › Food Storage › Bento Boxes,size:wide,color:sand,,"Thursday, April 23","Tomorrow, April 18",List Price: $100.32,VioletQuill,VIO-1032,82.37,"Everything visual about AnimeLunch Bento appears tuned for anime fans, yet the use-case language hidden in comments better fits people with diabetes portion planning. Across repeated mentions, customers care about divider logic, leak path, and microwave routine when the item is pulled into nutrition prep or parked near fridge shelf. That mismatch is the market gap embedded in this batch.",360 ratings,2%,3%,6%,16%,73%,4.6 out of 5 stars,100+ bought,VioletQuill,AnimeLunch Bento,330.0
33,"Instead of leaning on measurements or workflow notes, the page sells an identity for teen acne care; meanwhile the physical appeal comes from bristle density, handle grip, and sink cleanup, which quietly align with men cleaning work grime.",B0IABC2BR8,Only 2 left in stock,"#41,355 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)    #49 in Facial Cleansing Brushes",QuartzElm Store,Beauty & Personal Care › Skin Care › Facial Cleansing Brushes,size:travel,color:olive,,"Thursday, April 23","Sunday, April 19",List Price: $93.72,QuartzElm,QUA-1033,82.64,"GlowTeen Face Brush is merchandised as if teen acne care were the obvious buyer, but the stronger demand signal points toward men cleaning work grime. Review behavior clusters around task-specific needs—bristle density, handle grip, and sink cleanup—rather than the identity-heavy presentation. The commercial opportunity is to realign the message so buyers using it in garage sink, locker room, or mud room can recognize themselves immediately.",110 ratings,5%,6%,11%,22%,56%,4.2 out of 5 stars,200+ bought,QuartzElm,GlowTeen Face Brush,348.0
34,"The overt story points at pet owners, while the hidden utility shows up in clinic door, exercise room, and hall threshold; that is where floor traction, quiet contact, and bend resistance start to matter.",B001E0B1OK,Only 4 left in stock,"#9,543 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)    #141 in Door Stops",TidalMirth Store,Tools & Home Improvement › Hardware › Door Stops,size:quiet,color:stone,,"Thursday, April 23","Tomorrow, April 18",List Price: $20.40,TidalMirth,TID-1034,17.06,"The page composition suggests a straightforward play for pet owners; the retention signal says otherwise. People who keep this item seem to value floor traction under pressure, cleaner quiet contact in routine use, and predictable bend resistance more than the theme work. Repositioning toward physical therapists using therapy-room props would likely unlock demand without changing the underlying product.",657 ratings,3%,4%,8%,20%,65%,4.5 out of 5 stars,,TidalMirth,PuppyPaw Door Stop,50.0
35,"Box art chases students cramming cues, yet the hardware choices center beam spread, clip bite, and calmer warm-low setting across pattern table; repeat orders look more consistent with quilters and music-stand readers than with the intended shelf persona.",B0QYFQRUNW,Only 2 left in stock,"#44,699 in Electronics (See Top 100 in Electronics)    #383 in Reading Lights",JuniperGauge Store,Electronics › E-Book Readers & Accessories › Reading Lights,size:small-wrist,color:black,,"Thursday, April 23","Monday, April 20",List Price: $155.47,JuniperGauge,JUN-1035,129.41,"Everything visual about StudySprite Book Light appears tuned for students cramming, yet the use-case language hidden in comments better fits quilters and music-stand readers. Across repeated mentions, customers care about beam spread, clip bite, and warm-low setting when the item is pulled into pattern table or parked near bedside book. That mismatch is the market gap embedded in this batch.",97 ratings,5%,6%,11%,22%,56%,4.3 out of 5 stars,50+ bought,JuniperGauge,StudySprite Book Light,271.0
36,"Styled to catch mountain trekkers, this listing still reads differently once you inspect the functional details: wrist strap softness, tip stability, and folding speed all matter more to urban fall-prevention walkers moving between city sidewalk and senior center trip.",B030633LGX,Only 4 left in stock,"#14,676 in Sports & Outdoors (See Top 100 in Sports & Outdoors)    #302 in Trekking Poles",BasaltReed Store,Sports & Outdoors › Outdoor Recreation › Trekking Poles,size:quiet,color:cream,,"Friday, April 24","Monday, April 20",List Price: $122.49,BasaltReed,BAS-1036,93.94,"AlpineKing Trek Poles is merchandised as if mountain trekkers were the obvious buyer, but the stronger demand signal points toward urban fall-prevention walkers. Review behavior clusters around task-specific needs—wrist strap softness, tip stability, and folding speed—rather than the identity-heavy presentation. The commercial opportunity is to realign the message so buyers using it in city sidewalk, senior center trip, or curb crossing can recognize themselves immediately.",531 ratings,7%,8%,14%,24%,47%,4.0 out of 5 stars,50+ bought,BasaltReed,AlpineKing Trek Poles,295.0
37,"Promotional language leans playful, but the build itself is unusually practical for older women carrying meds and batteries; the useful bits are zip opening, strap drop, plus steadier interior visibility when the item lives on a grocery stop.",B0C87QG51P,Currently unavailable.,"#55,833 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)    #127 in Mini Bags",CoralKnoll Store,"Clothing, Shoes & Jewelry › Women › Handbags › Mini Bags",size:travel,color:berry,,"Thursday, April 23","Monday, April 20",List Price: $78.28,CoralKnoll,COR-1037,71.97,"The page composition suggests a straightforward play for young nightlife shoppers; the retention signal says otherwise. People who keep this item seem to value zip opening under pressure, cleaner strap drop in routine use, and predictable interior visibility more than the theme work. Repositioning toward older women carrying meds and batteries would likely unlock demand without changing the underlying product.","2,484 ratings",2%,3%,6%,16%,73%,4.8 out of 5 stars,1K+ bought,CoralKnoll,DateNight Mini Bag,108.0
38,"Instead of leaning on measurements or workflow notes, the page sells an identity for parents; meanwhile the physical appeal comes from button memory, frequency range, and timer behavior, which quietly align with adults in open offices and tinnitus users.",B0RDW0P4EA,Only 4 left in stock,"#18,538 in Health & Household (See Top 100 in Health & Household)    #182 in White Noise Machines",HollowMint Store,Health & Household › Sleep & Snoring › White Noise Machines,size:standard,color:navy,,"Wednesday, April 22","Tomorrow, April 18",List Price: $54.01,HollowMint,HOL-1038,,"Everything visual about BabyCloud Soother appears tuned for parents, yet the use-case language hidden in comments better fits adults in open offices and tinnitus users. Across repeated mentions, customers care about button memory, frequency range, and timer behavior when the item is pulled into shared workspace or parked near quiet reading corner. That mismatch is the market gap embedded in this batch.",350 ratings,7%,8%,14%,24%,47%,4.0 out of 5 stars,100+ bought,HollowMint,BabyCloud Soother,178.0
39,"The overt story points at students, while the hidden utility shows up in car seat organizer, kitchen counter, and home visit bag; that is where ring strength, wipe-clean cover, and pocket capacity start to matter.",B0DOTC3HG9,In Stock,"#23,897 in Office Products (See Top 100 in Office Products)    #324 in Binders & Binding Systems",MapleSpur Store,Office Products › Binders & Binding Systems,size:compact,color:sand,,"Wednesday, April 22","Sunday, April 19",List Price: $66.12,MapleSpur,MAP-1039,58.45,"CampusPop Binder is merchandised as if students were the obvious buyer, but the stronger demand signal points toward home-health nurses carrying paperwork. Review behavior clusters around task-specific needs—ring strength, wipe-clean cover, and pocket capacity—rather than the identity-heavy presentation. The commercial opportunity is to realign the message so buyers using it in car seat organizer, kitchen counter, or home visit bag can recognize themselves immediately.",598 ratings,3%,4%,8%,20%,65%,4.4 out of 5 stars,200+ bought,MapleSpur,CampusPop Binder,147.0
40,"Box art chases bird owners cues, yet the hardware choices center pour control, handle comfort, and calmer fine-grain cleanup across tea tins; repeat orders look more consistent with tea shops portioning loose leaf than with the intended shelf persona.",B0A22CKV0F,Only 4 left in stock,"#59,939 in Pet Supplies (See Top 100 in Pet Supplies)    #347 in Feeding & Watering Supplies",AeroMoss Store,Pet Supplies › Birds › Feeding & Watering Supplies,size:plus,color:cream,,"Wednesday, April 22","Tomorrow, April 18",List Price: $77.06,AeroMoss,AER-1040,65.25,"The page composition suggests a straightforward play for bird owners; the retention signal says otherwise. People who keep this item seem to value pour control under pressure, cleaner handle comfort in routine use, and predictable fine-grain cleanup more than the theme work. Repositioning toward tea shops portioning loose leaf would likely unlock demand without changing the underlying product.",554 ratings,3%,4%,8%,20%,65%,4.5 out of 5 stars,,AeroMoss,TweetTreat Seed Scoop,262.0
41,"Styled to catch makeup artists, this listing still reads differently once you inspect the functional details: shock padding, divider logic, and zip path all matter more to drone hobbyists storing batteries moving between charging shelf and field case.",B02EEMFYYK,Only 2 left in stock,"#55,810 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)    #282 in Cosmetic Bags",CedarBlink Store,Beauty & Personal Care › Makeup › Cosmetic Bags,size:plus,color:cream,,"Wednesday, April 22","Sunday, April 19",List Price: $61.67,CedarBlink,CED-1041,52.1,"Everything visual about MermaidGlam Train Case appears tuned for makeup artists, yet the use-case language hidden in comments better fits drone hobbyists storing batteries. Across repeated mentions, customers care about shock padding, divider logic, and zip path when the item is pulled into charging shelf or parked near trunk organizer. That mismatch is the market gap embedded in this batch.",86 ratings,2%,3%,6%,16%,73%,4.6 out of 5 stars,50+ bought,CedarBlink,MermaidGlam Train Case,347.0
42,"Promotional language leans playful, but the build itself is unusually practical for families charging hearing aids and remotes; the useful bits are port spacing, cord labeling, plus steadier overnight heat when the item lives on a kitchen charging nook.",B0CVOBQU3V,Only 2 left in stock,"#34,892 in Electronics (See Top 100 in Electronics)    #380 in Chargers & Adapters",VioletQuill Store,Electronics › Accessories & Supplies › Chargers & Adapters,size:travel,color:navy,,"Wednesday, April 22","Monday, April 20",List Price: $23.00,VioletQuill,VIO-1042,18.0,"GamerDock Charge Hub is merchandised as if console gamers were the obvious buyer, but the stronger demand signal points toward families charging hearing aids and remotes. Review behavior clusters around task-specific needs—port spacing, cord labeling, and overnight heat—rather than the identity-heavy presentation. The commercial opportunity is to realign the message so buyers using it in bedside tray, family room credenza, or kitchen charging nook can recognize themselves immediately.",448 ratings,7%,8%,14%,24%,47%,4.1 out of 5 stars,200+ bought,VioletQuill,GamerDock Charge Hub,262.0
43,"Instead of leaning on measurements or workflow notes, the page sells an identity for team sports kids; meanwhile the physical appeal comes from cap torque, ounce marks, and bedside stability, which quietly align with menopause users tracking hydration.",B0GAO5XN9R,Currently unavailable.,"#54,802 in Kitchen & Dining (See Top 100 in Kitchen & Dining)    #299 in Water Bottles",QuartzElm Store,Kitchen & Dining › Travel & To-Go Food Containers › Water Bottles,size:small-wrist,color:berry,,"Friday, April 24","Monday, April 20",List Price: $33.05,QuartzElm,QUA-1043,25.61,"The page composition suggests a straightforward play for team sports kids; the retention signal says otherwise. People who keep this item seem to value cap torque under pressure, cleaner ounce marks in routine use, and predictable bedside stability more than the theme work. Repositioning toward menopause users tracking hydration would likely unlock demand without changing the underlying product.","3,837 ratings",3%,4%,8%,20%,65%,4.5 out of 5 stars,1K+ bought,QuartzElm,SoccerStar Water Bottle,177.0
44,"The overt story points at girls, while the hidden utility shows up in display case, shelf edge, and counter glass; that is where fiber shed, reach length, and hand balance start to matter.",B0WL05WWDI,Only 2 left in stock,"#53,708 in Home & Kitchen (See Top 100 in Home & Kitchen)    #85 in Dusting Tools",TidalMirth Store,Home & Kitchen › Vacuums & Floor Care › Dusting Tools,size:travel,color:navy,,"Thursday, April 23","Sunday, April 19",List Price: $18.83,TidalMirth,TID-1044,15.33,"Everything visual about PrincessFeather Duster appears tuned for girls, yet the use-case language hidden in comments better fits camera shops cleaning lenses and shelves. Across repeated mentions, customers care about fiber shed, reach length, and hand balance when the item is pulled into display case or parked near counter glass. That mismatch is the market gap embedded in this batch.",221 ratings,2%,3%,6%,16%,73%,4.6 out of 5 stars,,TidalMirth,PrincessFeather Duster,264.0
45,"Box art chases children cues, yet the hardware choices center spring tension, loop size, and calmer cut path across craft table; repeat orders look more consistent with older adults with reduced grip strength than with the intended shelf persona.",B0E6TWHPSF,In Stock,"#61,231 in Arts, Crafts & Sewing (See Top 100 in Arts, Crafts & Sewing)    #49 in Scissors",JuniperGauge Store,"Arts, Crafts & Sewing › Craft Supplies › Scissors",size:travel,color:charcoal,,"Thursday, April 23","Monday, April 20",List Price: $61.32,JuniperGauge,JUN-1045,47.67,"KidCraft Safety Shears is merchandised as if children were the obvious buyer, but the stronger demand signal points toward older adults with reduced grip strength. Review behavior clusters around task-specific needs—spring tension, loop size, and cut path—rather than the identity-heavy presentation. The commercial opportunity is to realign the message so buyers using it in craft table, medication packet opening, or mail sort can recognize themselves immediately.",251 ratings,3%,4%,8%,20%,65%,4.4 out of 5 stars,200+ bought,JuniperGauge,KidCraft Safety Shears,232.0
46,"Styled to catch festival crowd, this listing still reads differently once you inspect the functional details: one-hand cable wrap, night visibility, and pass-through charge all matter more to delivery drivers moving between dashboard tray and apartment stair landing.",B0SHD1MQJ9,Currently unavailable.,"#66,189 in Electronics (See Top 100 in Electronics)    #273 in Power Banks",BasaltReed Store,Electronics › Portable Power › Power Banks,size:compact,color:black,,"Thursday, April 23","Sunday, April 19",List Price: $204.55,BasaltReed,BAS-1046,165.25,"The page composition suggests a straightforward play for festival crowd; the retention signal says otherwise. People who keep this item seem to value one-hand cable wrap under pressure, cleaner night visibility in routine use, and predictable pass-through charge more than the theme work. Repositioning toward delivery drivers would likely unlock demand without changing the underlying product.",73 ratings,3%,4%,8%,20%,65%,4.4 out of 5 stars,,BasaltReed,FestivalFlash Power Bank,50.0
47,"Promotional language leans playful, but the build itself is unusually practical for thrifters restoring coats; the useful bits are sheet tear angle, handle stiffness, plus steadier refill fit when the item lives on a entry bench.",B0HJL8I6KH,Only 2 left in stock,"#63,868 in Home & Kitchen (See Top 100 in Home & Kitchen)    #108 in Lint Rollers",CoralKnoll Store,Home & Kitchen › Cleaning Tools › Lint Rollers,size:plus,color:charcoal,,"Wednesday, April 22","Sunday, April 19",List Price: $83.13,CoralKnoll,COR-1047,71.46,"Everything visual about PuppyLove Lint Roller appears tuned for pet owners, yet the use-case language hidden in comments better fits thrifters restoring coats. Across repeated mentions, customers care about sheet tear angle, handle stiffness, and refill fit when the item is pulled into coat rack or parked near entry bench. That mismatch is the market gap embedded in this batch.",285 ratings,7%,8%,14%,24%,47%,4.1 out of 5 stars,,CoralKnoll,PuppyLove Lint Roller,137.0
48,"Instead of leaning on measurements or workflow notes, the page sells an identity for kids; meanwhile the physical appeal comes from drain holes, closure click, and slim shelf fit, which quietly align with adults carrying interdental tools.",B06YOMV26L,Only 2 left in stock,"#32,066 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)    #263 in Travel Cases",HollowMint Store,Beauty & Personal Care › Oral Care › Travel Cases,size:standard,color:black,,"Wednesday, April 22","Monday, April 20",List Price: $97.31,HollowMint,HOL-1048,76.33,"SparkBrush Travel Case is merchandised as if kids were the obvious buyer, but the stronger demand signal points toward adults carrying interdental tools. Review behavior clusters around task-specific needs—drain holes, closure click, and slim shelf fit—rather than the identity-heavy presentation. The commercial opportunity is to realign the message so buyers using it in medicine cabinet, travel pouch, or sink ledge can recognize themselves immediately.",597 ratings,7%,8%,14%,24%,47%,4.1 out of 5 stars,300+ bought,HollowMint,SparkBrush Travel Case,292.0
49,"The overt story points at male golfers, while the hidden utility shows up in sewing basket, cutting table, and studio tote; that is where magnet strength, clip security, and pouch logic start to matter.",B0JCULVQRW,Only 2 left in stock,"#6,626 in Sports & Outdoors (See Top 100 in Sports & Outdoors)    #234 in Ball Markers",MapleSpur Store,Sports & Outdoors › Golf › Accessories › Ball Markers,size:travel,color:stone,,"Wednesday, April 22","Tomorrow, April 18",List Price: $82.24,MapleSpur,MAP-1049,65.55,"The page composition suggests a straightforward play for male golfers; the retention signal says otherwise. People who keep this item seem to value magnet strength under pressure, cleaner clip security in routine use, and predictable pouch logic more than the theme work. Repositioning toward women using it for sewing pins and pattern weights would likely unlock demand without changing the underlying product.","1,831 ratings",7%,8%,14%,24%,47%,4.1 out of 5 stars,1K+ bought,MapleSpur,BirdieBoy Marker Set,388.0
50,"Box art chases students cues, yet the hardware choices center jam recovery, staple load, and calmer thumb comfort across front desk; repeat orders look more consistent with pharmacy counters and church offices than with the intended shelf persona.",B0WFLKJ01M,In Stock,"#65,294 in Office Products (See Top 100 in Office Products)    #239 in Staplers & Punches",AeroMoss Store,Office Products › Staplers & Punches,size:small-wrist,color:sand,,"Wednesday, April 22","Tomorrow, April 18",List Price: $50.74,AeroMoss,AER-1050,38.82,"Everything visual about StudyPal Mini Stapler appears tuned for students, yet the use-case language hidden in comments better fits pharmacy counters and church offices. Across repeated mentions, customers care about jam recovery, staple load, and thumb comfort when the item is pulled into front desk or parked near donation envelope stack. That mismatch is the market gap embedded in this batch.",89 ratings,5%,6%,11%,22%,56%,4.3 out of 5 stars,200+ bought,AeroMoss,StudyPal Mini Stapler,109.0
