s.no,about_item,asin,availability,best_sellers_rank,brand_name,breadcrumbs,default_variant/0,default_variant/1,default_variant/2,delivery_date,fastest_delivery_date,list_price,manufacturer,model_number,price_value,product_description,rating_count,rating_distribution/1star,rating_distribution/2star,rating_distribution/3star,rating_distribution/4star,rating_distribution/5star,rating_stars,recent_purchases,seller_name,title,rank_1
38,Dense rubber creates more friction on common hard floors; Tapered shape fits many door-bottom clearances; Multi-pack covers bedrooms offices and laundry rooms; Compact size stores in drawers and tool caddies; Neutral color blends into most baseboard and flooring tones,B0PE8DZYNU,In Stock,"#14,816 in Tools & Home Improvement (#7 in Door Stops)",QuietArc Store,Tools & Home Improvement > Hardware > Door Stops,size:6-Pack,color:Gray,packaging:Standard,Sunday April 19,"Tomorrow, April 18",List Price: $10.99,QuietArc,QA-DS6,8.79,A simple wedge stop made of denser rubber that grips floors better than flimsy hollow versions.,"6,929 ratings",0%,1%,2%,26%,71%,4.8 out of 5 stars,"6,800+ bought in past month",QuietArc,QuietArc Heavy Rubber Door Stop 6-Pack,7.0
39,Steel crossbars feel more stable than plastic-heavy budget racks; Folds down quickly for apartments and laundry closets; Side wings create extra hanging room for longer garments; Foot caps help protect hard floors from scratches; White finish suits utility rooms and bedroom corners,B0SV2SBTXL,In Stock,"#11,156 in Home & Kitchen (#52 in Drying Racks)",FoldNest Store,Home & Kitchen > Laundry > Drying Racks,color:White,style:Standard,packaging:Standard,Sunday April 19,"Tomorrow, April 18",List Price: $39.99,FoldNest,FN-DR1,32.49,A fold-flat drying rack with sturdier steel bars that sag less under wet jeans and towels.,"2,275 ratings",2%,1%,2%,23%,72%,4.4 out of 5 stars,"2,100+ bought in past month",FoldNest,FoldNest Compact Drying Rack with Steel Crossbars,52.0
40,Weighted base resists sliding during plug and unplug use; Seven ports help manage mice drives lights and other desk gear; LEDs are visible without being overly bright; Long attached cable makes monitor-side routing easier; Matte shell hides fingerprints better than gloss plastic,B0O828AP3L,In Stock,"#3,328 in Electronics (#26 in USB Hubs)",PortCrest Store,Electronics > Computer Accessories > USB Hubs,style:7-Port,color:Black,packaging:Standard,Sunday April 19,"Tomorrow, April 18",List Price: $30.89,PortCrest,PC-HB7,24.89,A desk USB hub with a heavier base that stays planted instead of skittering when cables are swapped.,"4,252 ratings",0%,1%,2%,24%,73%,4.5 out of 5 stars,"4,400+ bought in past month",PortCrest,PortCrest 7-Port USB Hub with Weighted Base,26.0
41,Semi-hard shell helps protect pens chargers and small accessories; Double zippers move smoothly without frequent snagging; Elastic loops hold cables markers or styluses neatly; Mesh pocket stores erasers refills and USB drives; Compact body fits backpack front compartments,B000UXA3L4,In Stock,"#28,664 in Office Products (#67 in Pencil Cases)",DeskTidy Store,Office Products > Writing & Correction Supplies > Pencil Cases,color:Lavender,style:Hard Shell,packaging:Standard,Sunday April 19,"Tomorrow, April 18",List Price: $16.25,DeskTidy Office,DT-PC2,13.25,A school and office pencil case with a shell that resists crushing better than fabric-only pouches.,"1,770 ratings",0%,1%,2%,24%,73%,4.6 out of 5 stars,"1,800+ bought in past month",DeskTidy Office,DeskTidy Hard Shell Pencil Case with Double Zipper,67.0
42,Thicker handle improves control during larger cleaning passes; Sheets peel without tearing as often as thin bargain rolls; Refill-ready design reduces waste over time; Works on clothing upholstery and fabric car seats; Compact format stores in entryway drawers and closets,B06A9DSR9Z,In Stock,"#29,130 in Home & Kitchen (#24 in Lint Rollers)",FuzzAway Store,Home & Kitchen > Cleaning Tools > Lint Rollers,style:Starter Set,color:Blue,packaging:Standard,Sunday April 19,"Tomorrow, April 18",List Price: $14.49,FuzzAway,FA-LR1,11.49,A lint roller set with a thicker handle and smoother roll core for clothes sofas and car seats.,"4,207 ratings",0%,1%,2%,24%,73%,4.5 out of 5 stars,"4,300+ bought in past month",FuzzAway,FuzzAway Refill-Ready Lint Roller Set with Thick Handle,24.0
43,Twisted profile cuts with less loud chatter in routine yard work; Durable material holds up better near fences and edging; Large spool reduces mid-season replacement frequency; Feeds smoothly through many compatible trimmer heads; Bright color helps identify remaining line during reloads,B0PFFZ8XMV,In Stock,"#44,547 in Patio, Lawn & Garden (#43 in Trimmer Line)",YardPulse Store,"Patio, Lawn & Garden > Outdoor Power Tool Accessories > Trimmer Line",size:0.095-inch,style:3-LB,packaging:Standard,Sunday April 19,"Tomorrow, April 18",List Price: $27.99,YardPulse,YP-TL95,21.99,A twisted trimmer line spool with better wear life and cleaner feeding than bargain bulk refills.,"2,475 ratings",2%,1%,2%,23%,72%,4.4 out of 5 stars,"2,600+ bought in past month",YardPulse,"YardPulse Twisted Trimmer Line 0.095-inch, 3-LB Spool",43.0
44,Double-zip closure presses shut with a firm track feel; Plastic thickness helps with freezer use and batch cooking; Large count suits family prep and bulk shopping; Write-on panel helps label meats leftovers or marinated items; Box opening dispenses bags without bunching too badly,B0JYHACRZI,In Stock,"#27,509 in Health & Household (#21 in Storage Bags)",SealSpring Store,Health & Household > Household Supplies > Storage Bags,size:Gallon,style:120 Count,packaging:Standard,Sunday April 19,"Tomorrow, April 18",List Price: $18.95,SealSpring,SS-FB120,14.95,A freezer bag box with seals that feel tougher and less likely to split during overstuffed meal prep.,"4,708 ratings",0%,1%,2%,24%,73%,4.6 out of 5 stars,"4,700+ bought in past month",SealSpring,"SealSpring Freezer Storage Bags, Double-Zip Gallon 120 Count",21.0
45,Flexible jacket uncoils more easily than stiff bargain cords; Lighted end confirms power at a glance in sheds and yards; Bright color improves visibility around leaves and mulch; Reinforced plug boot reduces splitting near the base; Suitable for seasonal lights tools and outdoor cleanup gear,B0JSVOHYZG,In Stock,"#44,443 in Tools & Home Improvement (#15 in Extension Cords)",GroundPath Store,Tools & Home Improvement > Electrical > Extension Cords,size:25FT,color:Orange,packaging:Standard,Sunday April 19,"Tomorrow, April 18",List Price: $35.49,GroundPath,GP-OC25,29.49,An outdoor extension cord with a jacket that stays flexible and a plug end that resists cracking in cold mornings.,"5,603 ratings",0%,1%,2%,25%,72%,4.7 out of 5 stars,"5,500+ bought in past month",GroundPath,"GroundPath Outdoor Extension Cord 25FT, Lighted End",15.0
46,Metal kickstand adds stability on bathroom counters and vanities; Front lighting supports makeup tweezing and skincare routines; Touch control keeps the face of the mirror uncluttered; Rotating frame helps users find a comfortable angle; USB power option simplifies use near outlets and desks,B0F3I6P63T,In Stock,"#34,154 in Beauty & Personal Care (#39 in Mirrors)",GlowFrame Store,Beauty & Personal Care > Makeup > Mirrors,color:White,style:Tabletop,packaging:Standard,Sunday April 19,"Tomorrow, April 18",List Price: $39.95,GlowFrame,GF-VM1,33.95,A tabletop vanity mirror with a sturdier kickstand and more reliable hinge feel than bargain plastic mirrors.,"3,587 ratings",0%,1%,2%,24%,73%,4.5 out of 5 stars,"3,500+ bought in past month",GlowFrame,GlowFrame LED Vanity Mirror with Metal Kickstand,39.0
47,Steel hook tightens securely behind vent blades; Ball joint stays firm without drooping over bumps; Silicone pads reduce case scuffs and slipping; One-hand clamp works for routine map and call use; Compact cradle avoids blocking too much airflow,B058WWQH2V,In Stock,"#12,097 in Automotive (#23 in Phone Mounts)",RoadLatch Store,Automotive > Exterior Accessories > Phone Mounts,color:Black,style:Vent Mount,packaging:Standard,Sunday April 19,"Tomorrow, April 18",List Price: $19.79,RoadLatch Auto,RL-VM3,15.79,A car vent phone mount using a steel hook clip that stays anchored better than many plastic clamp designs.,"4,634 ratings",2%,1%,2%,23%,72%,4.4 out of 5 stars,"4,500+ bought in past month",RoadLatch Auto,RoadLatch Vent Phone Mount with Steel Hook Clip,23.0
48,Thicker hinge pins improve confidence during repeated opening and closing; Textured top adds grip for socks and bare feet; Folds slim for pantry closet and laundry-room storage; Carry handle built into the seat makes quick moves easier; Suitable for shelves light cleaning and kid sink access,B0IH0VHYUJ,In Stock,"#30,632 in Home & Kitchen (#13 in Step Stools)",RiseMate Store,Home & Kitchen > Furniture > Step Stools,color:Black,style:Single,packaging:Standard,Sunday April 19,"Tomorrow, April 18",List Price: $22.99,RiseMate,RM-SS1,17.49,A folding household stool with thicker hinge pins and less side wobble than ultra-cheap versions.,"6,115 ratings",0%,1%,2%,25%,72%,4.7 out of 5 stars,"6,100+ bought in past month",RiseMate,RiseMate Folding Step Stool with Thick Hinge Pins,13.0
49,Weighted base reduces push-around behavior on tile and wood floors; Maze pattern encourages slower eating for many dogs; Thick sidewalls feel sturdier during routine washing; Dishwasher-safe materials simplify cleanup after meals; Sized for kibble or mixed meals in many homes,B09FIV47O1,In Stock,"#9,266 in Pet Supplies (#35 in Dog Bowls & Feeders)",PawRound Store,Pet Supplies > Dog Bowls & Feeders,size:Medium,color:Slate,packaging:Standard,Sunday April 19,"Tomorrow, April 18",List Price: $19.20,PawRound,PR-SF2,16.20,A slow feeder bowl with a heavier base and thicker walls that resist sliding and chipping.,"3,110 ratings",0%,1%,2%,24%,73%,4.6 out of 5 stars,"3,200+ bought in past month",PawRound,PawRound Slow Feeder Bowl with Weighted Base,35.0
50,Anti-skid feet reduce bench creep during quick tube handling; Molded wells keep common tubes upright and separated; Rigid frame resists twist when carried one-handed; Numbered grid helps with routine sample tracking; Easy-wipe plastic surface handles common bench cleanup,B0OAMZ46AA,Only 12 left in stock - order soon.,"#47,669 in Industrial & Scientific (#156 in Sample Racks)",LabPort Store,Industrial & Scientific > Lab Supplies > Sample Racks,color:Blue,style:50-Tube,packaging:Standard,Sunday April 19,"Sunday, April 19",List Price: $26.35,LabPort,LP-TR50,21.35,A bench rack with grippier feet and thicker plastic walls that hold shape better in repeated lab use.,860 ratings,4%,2%,2%,22%,70%,4.3 out of 5 stars,700+ bought in past month,LabPort,LabPort 50-Tube Rack with Anti-Skid Feet,156.0
